case_id,user_id,user_email,device_id,amount,currency,created_at,region,status,outcome,outcome_note
CASE-00058,usr-453894,emerson.tran98@notreal.dev,dev-473bd358,716.39,SGD,2026-04-18T08:53:00Z,APAC-SG,open,,
CASE-00213,usr-240057,jamie.rossi62@inbox.test,dev-74797b61,712.37,USD,2026-06-05T11:26:00Z,US-CA,open,,
CASE-00033,usr-449759,jordan.nguyen99@inbox.test,dev-a319dcb4,930.97,SGD,2026-02-11T23:28:00Z,APAC-SG,open,,
CASE-00136,usr-285751,priya.johnson99@notreal.dev,dev-76c5a0dc,718.69,BRL,2026-07-14T18:28:00Z,LATAM-BR,open,,
CASE-00101,usr-387813,logan.andersson2@mail.example,dev-e91e314e,579.23,USD,2026-05-08T09:49:00Z,US-CA,open,,
CASE-00138,usr-177794,quinn.osei40@notreal.dev,dev-73b0a091,43.43,EUR,2026-04-05T09:04:00Z,EU-FR,open,,
CASE-00046,usr-805477,yuki.rossi40@inbox.test,dev-ce7ae7f6,195.58,BRL,2026-01-07T01:15:00Z,LATAM-BR,open,,
CASE-00031,usr-240814,camille.lee34@mail.example,dev-e3c43657,108.83,VND,2026-05-22T04:17:00Z,APAC-VN,resolved,fraud_confirmed,Merchant evidence insufficient.
CASE-00090,usr-861319,alex.patel39@notreal.dev,dev-dd81b7f5,147.98,VND,2026-05-18T15:22:00Z,APAC-VN,open,,
CASE-00168,usr-178686,santiago.smith86@notreal.dev,dev-5d01f55f,491.33,EUR,2026-07-11T21:10:00Z,EU-FR,open,,
CASE-00216,usr-311976,dakota.osei74@inbox.test,dev-2a1f1b61,-42.5,USD,2026-03-25T16:28:00Z,US-TX,open,,
CASE-00139,usr-585188,parker.andersson75@mail.example,dev-7321bf6b,864.33,USD,2026-05-27T20:12:00Z,US-NY,open,,
CASE-00170,usr-490084,emerson.silva57@mail.example,dev-92ec89af,137.71,BRL,2026-04-04T12:20:00Z,LATAM-BR,resolved,won,Bank reversed decision on appeal.
CASE-00175,usr-236074,santiago.nakamura79@mail.example,dev-10d4de39,299.35,BRL,2026-07-03T23:30:00Z,LATAM-BR,open,,
CASE-00021,usr-531071,quinn.kowalski60@mail.example,dev-ac619e63,623.56,USD,2026-06-15T03:03:00Z,US-NY,open,,
CASE-00207,usr-398384,morgan.tran59@notreal.dev,dev-e3a68a70,892.12,EUR,2026-05-10T14:17:00Z,EU-FR,open,,
CASE-00097,usr-656968,casey.rossi53@inbox.test,dev-2b840c67,172.92,GBP,2026-06-06T12:39:00Z,EU-GB,open,,
CASE-00115,usr-651640,casey.kowalski15@mail.example,dev-79eb4168,430.28,USD,2026-04-03T16:37:00Z,US-TX,open,,
CASE-00098,usr-343467,elliot.garcia60@webmail.sample,dev-75a66981,248.52,EUR,2026-01-03T14:57:00Z,EU-DE,open,,
CASE-00096,usr-565230,morgan.lee22@webmail.sample,dev-e746ccb9,35.27,USD,2026-03-25T01:18:00Z,US-NY,open,,
CASE-00108,usr-835132,taylor.novak39@notreal.dev,dev-1dde7969,139.67,BRL,2026-01-10T09:31:00Z,LATAM-BR,open,,
CASE-00166,usr-408036,riley.nakamura42@mail.example,dev-147f6570,316.9,SGD,2026-03-17T09:28:00Z,APAC-SG,resolved,fraud_confirmed,
CASE-00187,usr-152995,quinn.smith37@notreal.dev,dev-98f6fd7f,839.16,EUR,2026-06-17T21:30:00Z,EU-DE,open,,
CASE-00165,usr-825686,riley.haddad64@webmail.sample,dev-ec9f9c54,759.05,SGD,2026-03-10T02:46:00Z,APAC-SG,open,,
CASE-00217,usr-851742,morgan.dubois75@notreal.dev,dev-1747f387,854.75,EUR,2027-03-15T10:00:00Z,EU-FR,open,,
CASE-00035,usr-482364,jordan.patel6@webmail.sample,dev-35c7936c,650.51,USD,2026-06-20T03:22:00Z,US-TX,open,,
CASE-00197,usr-840058,noor.smith18@inbox.test,dev-8f964685,314.2,JPY,2026-06-19T15:33:00Z,APAC-JP,open,,
CASE-00047,usr-577538,priya.johnson54@inbox.test,dev-b7e58481,663.97,JPY,2026-05-07T12:15:00Z,APAC-JP,open,,
CASE-00105,usr-943298,reese.tran15@notreal.dev,dev-f6802cdb,78.93,JPY,2026-07-13T07:55:00Z,APAC-JP,open,,
CASE-00074,usr-364742,riley.smith62@mail.example,dev-d2762bdc,69.55,JPY,2026-05-06T02:36:00Z,APAC-JP,open,,
